,count,unique,top,freq,mean,min,25%,50%,75%,max,std
transaction_id,8234391,8234391,{4C13243C-A08E-43AC-A588-D877622CD139},1,,,,,,,
price,8234391.0,,,,328165.2346065422,10000.0,167000.0,255000.0,390000.0,49575718.0,358235.28341146227
date_of_transfer,8234391,,,,2019-11-20 01:01:05.907827,2015-01-01 00:00:00,2017-05-26 00:00:00,2019-11-14 00:00:00,2022-03-31 00:00:00,2024-12-31 00:00:00,
postcode,8234391,1063927,LU1 5FT,295,,,,,,,
property_type,8234391,4,S,2330459,,,,,,,
duration,8234391,2,F,6272570,,,,,,,
paon,8234391,256276,1,220178,,,,,,,
saon,1077287,28814,FLAT 2,49961,,,,,,,
street,8133472,279309,HIGH STREET,47260,,,,,,,
locality,3111082,18285,SHIRLEY,8733,,,,,,,
town_city,8234391,990,LONDON,557759,,,,,,,
district,8234391,344,BIRMINGHAM,116987,,,,,,,
county,8234391,100,GREATER LONDON,933604,,,,,,,
year,8234391.0,,,,2019.361146076255,2015.0,2017.0,2019.0,2022.0,2024.0,2.8397768484436714
month,8234391.0,,,,6.766339368630904,1.0,4.0,7.0,10.0,12.0,3.402191162457219
quarter,8234391.0,,,,2.5680071543845804,1.0,2.0,3.0,4.0,4.0,1.1152169626706008
is_new_build,8234391.0,,,,0.1200903624809655,0.0,0.0,0.0,0.0,1.0,0.3250671932889568
property_type_label,8234391,4,Semi-Detached,2330459,,,,,,,
duration_label,8234391,2,Freehold,6272570,,,,,,,
postcode_area,8234391,104,B,237074,,,,,,,
postcode_nospace,8234391,1063927,LU15FT,295,,,,,,,
region_code,8234391,9,E12000008,1468538,,,,,,,
region_name,8234391,9,South East,1468538,,,,,,,
laua,8234391,296,E08000025,116887,,,,,,,
lat,8234391,901571,53.472184,617,,,,,,,
long,8234391,934453,-2.251490,617,,,,,,,
base_rate_pct,8234391.0,,,,8.71942020241691,5.0,8.88,8.88,8.88,8.88,0.7728284517041294
cpi_index,8234391.0,,,,111.75540859062923,99.3,103.2,108.5,117.1,135.6,11.22924921654885
cpi_yoy_pct,8234391.0,,,,2.9254461651939714,-0.19980019980019303,0.7386888273314796,2.2154316271963292,3.024747937671868,11.09154929577465,2.9458617427111817
avg_weekly_earnings_gbp,8234391.0,,,,560.3172391255164,476.0,503.0,542.0,607.0,713.0,67.1514144221764
gva_total_millions,7514181.0,,,,207670.43275840706,50570.0,135792.0,163826.0,261020.0,577141.0,113685.97274197862
net_additions,8234391.0,,,,25832.08625847376,7143.0,18933.0,24153.0,33847.0,45677.0,9325.98524621041
population,8234391.0,,,,6761873.287126759,2611804.0,5574666.0,6237376.0,8804769.0,9642942.0,1784203.0271264624
population_density,8234391.0,,,,984.6845135784878,229.54856117118067,319.0189670651498,450.4455586331583,505.6093640654862,5782.42783015123,1661.968436975291
population_growth_pct,8234391.0,,,,0.7554675563415568,-0.7019165878727085,0.5373322329933483,0.7563969026331163,1.0300147812606353,1.498145337865875,0.40418901333518326
owner_occupier_pct,933606.0,,,,24.5,24.5,24.5,24.5,24.5,24.5,0.0
price_to_annual_income,8234391.0,,,,11.278156971651713,0.2697162584960621,5.827505827505828,8.84016973125884,13.330015640551684,1755.7627850970393,12.151233381336297
housing_pressure_index,8234391.0,,,,2.0603757405952825,-1.5776717161022642,1.3046749724203612,1.9141432891907364,2.7582017128151928,5.143195045160168,1.1396112271531242
log_price,8234391.0,,,,12.460900990607579,9.210340371976184,12.025749091398891,12.449018824140563,12.873902018105829,17.71901171537166,0.6611073386249521
decade,8234391.0,,,,2014.8575504855187,2010.0,2010.0,2010.0,2020.0,2020.0,4.99797070513697
season,8234391,4,Autumn,2220700,,,,,,,
floor_area,4357845.0,,,,97.71048603151328,10.0,72.0,88.0,113.0,1000.0,41.27699563607847
num_rooms,3502622.0,,,,4.789377786127078,1.0,4.0,5.0,6.0,99.0,1.5611020094492052
energy_rating,4357845,7,D,1807526,,,,,,,
energy_efficiency_score,4357845.0,,,,66.7194707475828,1.0,60.0,67.0,75.0,154.0,12.972059198832511
construction_age_band,4309782,65,England and Wales: 1950-1966,651865,,,,,,,
net_migration_total,8234391.0,,,,-614.3262571573296,-128182.0,1345.0,20298.0,22320.0,28563.0,46592.773702510094
median_age,8234391.0,,,,40.72036777218862,34.5,40.3,41.3,41.7,44.1,2.2120333861282355
median_household_income,8234391.0,,,,33125.30949161875,29584.0,31330.0,31432.0,35215.0,39778.0,2952.0699374646124
unemployment_rate,7825088.0,,,,4.007637460128164,2.16478727,3.1,3.64075246,4.64764879,7.9233127,1.2804826577615203
